Sample in Buffer,Sample in Window,TRIGGER,base_soc_i/test_pattern_generator_gpio_adapter_0_probe_test_o[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
388,388,0,95
389,389,0,95
390,390,0,95
391,391,0,95
392,392,0,95
393,393,0,95
394,394,0,95
395,395,0,95
396,396,0,95
397,397,0,95
398,398,0,95
399,399,0,95
400,400,0,95
401,401,0,95
402,402,0,95
403,403,0,95
404,404,0,95
405,405,0,95
406,406,0,95
407,407,0,95
408,408,0,95
409,409,0,95
410,410,0,95
411,411,0,95
412,412,0,95
413,413,0,95
414,414,0,95
415,415,0,95
416,416,0,95
417,417,0,95
418,418,0,95
419,419,0,95
420,420,0,95
421,421,0,95
422,422,0,95
423,423,0,95
424,424,0,95
425,425,0,95
426,426,0,95
427,427,0,95
428,428,0,95
429,429,0,95
430,430,0,95
431,431,0,95
432,432,0,95
433,433,0,95
434,434,0,95
435,435,0,95
436,436,0,95
437,437,0,95
438,438,0,95
439,439,0,95
440,440,0,95
441,441,0,95
442,442,0,95
443,443,0,95
444,444,0,95
445,445,0,95
446,446,0,95
447,447,0,95
448,448,0,95
449,449,0,95
450,450,0,95
451,451,0,95
452,452,0,95
453,453,0,95
454,454,0,95
455,455,0,95
456,456,0,95
457,457,0,95
458,458,0,95
459,459,0,95
460,460,0,95
461,461,0,95
462,462,0,95
463,463,0,95
464,464,0,95
465,465,0,95
466,466,0,95
467,467,0,95
468,468,0,95
469,469,0,95
470,470,0,95
471,471,0,95
472,472,0,95
473,473,0,95
474,474,0,95
475,475,0,95
476,476,0,95
477,477,0,95
478,478,0,95
479,479,0,95
480,480,0,95
481,481,0,95
482,482,0,95
483,483,0,95
484,484,0,95
485,485,0,95
486,486,0,95
487,487,0,95
488,488,0,95
489,489,0,95
490,490,0,95
491,491,0,95
492,492,0,95
493,493,0,95
494,494,0,95
495,495,0,95
496,496,0,95
497,497,0,95
498,498,0,95
499,499,0,95
500,500,0,95
501,501,0,95
502,502,0,95
503,503,0,95
504,504,0,95
505,505,0,95
506,506,0,95
507,507,0,95
508,508,0,95
509,509,0,95
510,510,0,95
511,511,0,95
512,512,1,a5
513,513,0,a5
514,514,0,a5
515,515,0,a5
516,516,0,a5
517,517,0,a5
518,518,0,a5
519,519,0,a5
520,520,0,a5
521,521,0,a5
522,522,0,a5
523,523,0,a5
524,524,0,a5
525,525,0,a5
526,526,0,a5
527,527,0,a5
528,528,0,a5
529,529,0,a5
530,530,0,a5
531,531,0,a5
532,532,0,a5
533,533,0,a5
534,534,0,a5
535,535,0,a5
536,536,0,a5
537,537,0,a5
538,538,0,a5
539,539,0,a5
540,540,0,a5
541,541,0,a5
542,542,0,a5
543,543,0,a5
544,544,0,a5
545,545,0,a5
546,546,0,a5
547,547,0,a5
548,548,0,a5
549,549,0,a5
550,550,0,a5
551,551,0,a5
552,552,0,a5
553,553,0,a5
554,554,0,a5
555,555,0,a5
556,556,0,a5
557,557,0,a5
558,558,0,a5
559,559,0,a5
560,560,0,a5
561,561,0,a5
562,562,0,a5
563,563,0,a5
564,564,0,a5
565,565,0,a5
566,566,0,a5
567,567,0,a5
568,568,0,a5
569,569,0,a5
570,570,0,a5
571,571,0,a5
572,572,0,a5
573,573,0,a5
574,574,0,a5
575,575,0,a5
576,576,0,a5
577,577,0,a5
578,578,0,a5
579,579,0,a5
580,580,0,a5
581,581,0,a5
582,582,0,a5
583,583,0,a5
584,584,0,a5
585,585,0,a5
586,586,0,a5
587,587,0,a5
588,588,0,a5
589,589,0,a5
590,590,0,a5
591,591,0,a5
