Sample in Buffer,Sample in Window,TRIGGER,base_soc_i/test_pattern_generator_0_probe_test_o[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,a5
1,1,0,a5
2,2,0,a5
3,3,0,a5
4,4,0,a5
5,5,0,a5
6,6,0,a5
7,7,0,a5
8,8,0,a5
9,9,0,a5
10,10,0,a5
11,11,0,a5
12,12,0,a5
13,13,0,a5
14,14,0,a5
15,15,0,a5
16,16,0,a5
17,17,0,a5
18,18,0,a5
19,19,0,a5
20,20,0,a5
21,21,0,a5
22,22,0,a5
23,23,0,a5
24,24,0,a5
25,25,0,a5
26,26,0,a5
27,27,0,a5
28,28,0,a5
29,29,0,a5
30,30,0,a5
31,31,0,a5
32,32,0,a5
33,33,0,a5
34,34,0,a5
35,35,0,a5
36,36,0,a5
37,37,0,a5
38,38,0,a5
39,39,0,a5
40,40,0,a5
41,41,0,a5
42,42,0,a5
43,43,0,a5
44,44,0,a5
45,45,0,a5
46,46,0,a5
47,47,0,a5
48,48,0,a5
49,49,0,a5
50,50,0,a5
51,51,0,a5
52,52,0,a5
53,53,0,a5
54,54,0,a5
55,55,0,a5
56,56,0,a5
57,57,0,a5
58,58,0,a5
59,59,0,a5
60,60,0,a5
61,61,0,a5
62,62,0,a5
63,63,0,a5
64,64,0,a5
65,65,0,a5
66,66,0,a5
67,67,0,a5
68,68,0,a5
69,69,0,a5
70,70,0,a5
71,71,0,a5
72,72,0,a5
73,73,0,a5
74,74,0,a5
75,75,0,a5
76,76,0,a5
77,77,0,a5
78,78,0,a5
79,79,0,a5
80,80,0,a5
81,81,0,a5
82,82,0,a5
83,83,0,a5
84,84,0,a5
85,85,0,a5
86,86,0,a5
87,87,0,a5
88,88,0,a5
89,89,0,a5
90,90,0,a5
91,91,0,a5
92,92,0,a5
93,93,0,a5
94,94,0,a5
95,95,0,a5
96,96,0,a5
97,97,0,a5
98,98,0,a5
99,99,0,a5
100,100,0,a5
101,101,0,a5
102,102,0,a5
103,103,0,a5
104,104,0,a5
105,105,0,a5
106,106,0,a5
107,107,0,a5
108,108,0,a5
109,109,0,a5
110,110,0,a5
111,111,0,a5
112,112,0,a5
113,113,0,a5
114,114,0,a5
115,115,0,a5
116,116,0,a5
117,117,0,a5
118,118,0,a5
119,119,0,a5
120,120,0,a5
121,121,0,a5
122,122,0,a5
123,123,0,a5
124,124,0,a5
125,125,0,a5
126,126,0,a5
127,127,0,a5
128,128,0,a5
129,129,0,a5
130,130,0,a5
131,131,0,a5
132,132,0,a5
133,133,0,a5
134,134,0,a5
135,135,0,a5
136,136,0,a5
137,137,0,a5
138,138,0,a5
139,139,0,a5
140,140,0,a5
141,141,0,a5
142,142,0,a5
143,143,0,a5
144,144,0,a5
145,145,0,a5
146,146,0,a5
147,147,0,a5
148,148,0,a5
149,149,0,a5
150,150,0,a5
151,151,0,a5
152,152,0,a5
153,153,0,a5
154,154,0,a5
155,155,0,a5
156,156,0,a5
157,157,0,a5
158,158,0,a5
159,159,0,a5
160,160,0,a5
161,161,0,a5
162,162,0,a5
163,163,0,a5
164,164,0,a5
165,165,0,a5
166,166,0,a5
167,167,0,a5
168,168,0,a5
169,169,0,a5
170,170,0,a5
171,171,0,a5
172,172,0,a5
173,173,0,a5
174,174,0,a5
175,175,0,a5
176,176,0,a5
177,177,0,a5
178,178,0,a5
179,179,0,a5
180,180,0,a5
181,181,0,a5
182,182,0,a5
183,183,0,a5
184,184,0,a5
185,185,0,a5
186,186,0,a5
187,187,0,a5
188,188,0,a5
189,189,0,a5
190,190,0,a5
191,191,0,a5
192,192,0,a5
193,193,0,a5
194,194,0,a5
195,195,0,a5
196,196,0,a5
197,197,0,a5
198,198,0,a5
199,199,0,a5
200,200,0,a5
201,201,0,a5
202,202,0,a5
203,203,0,a5
204,204,0,a5
205,205,0,a5
206,206,0,a5
207,207,0,a5
208,208,0,a5
209,209,0,a5
210,210,0,a5
211,211,0,a5
212,212,0,a5
213,213,0,a5
214,214,0,a5
215,215,0,a5
216,216,0,a5
217,217,0,a5
218,218,0,a5
219,219,0,a5
220,220,0,a5
221,221,0,a5
222,222,0,a5
223,223,0,a5
224,224,0,a5
225,225,0,a5
226,226,0,a5
227,227,0,a5
228,228,0,a5
229,229,0,a5
230,230,0,a5
231,231,0,a5
232,232,0,a5
233,233,0,a5
234,234,0,a5
235,235,0,a5
236,236,0,a5
237,237,0,a5
238,238,0,a5
239,239,0,a5
240,240,0,a5
241,241,0,a5
242,242,0,a5
243,243,0,a5
244,244,0,a5
245,245,0,a5
246,246,0,a5
247,247,0,a5
248,248,0,a5
249,249,0,a5
250,250,0,a5
251,251,0,a5
252,252,0,a5
253,253,0,a5
254,254,0,a5
255,255,0,a5
256,256,0,a5
257,257,0,a5
258,258,0,a5
259,259,0,a5
260,260,0,a5
261,261,0,a5
262,262,0,a5
263,263,0,a5
264,264,0,a5
265,265,0,a5
266,266,0,a5
267,267,0,a5
268,268,0,a5
269,269,0,a5
270,270,0,a5
271,271,0,a5
272,272,0,a5
273,273,0,a5
274,274,0,a5
275,275,0,a5
276,276,0,a5
277,277,0,a5
278,278,0,a5
279,279,0,a5
280,280,0,a5
281,281,0,a5
282,282,0,a5
283,283,0,a5
284,284,0,a5
285,285,0,a5
286,286,0,a5
287,287,0,a5
288,288,0,a5
289,289,0,a5
290,290,0,a5
291,291,0,a5
292,292,0,a5
293,293,0,a5
294,294,0,a5
295,295,0,a5
296,296,0,a5
297,297,0,a5
298,298,0,a5
299,299,0,a5
300,300,0,a5
301,301,0,a5
302,302,0,a5
303,303,0,a5
304,304,0,a5
305,305,0,a5
306,306,0,a5
307,307,0,a5
308,308,0,a5
309,309,0,a5
310,310,0,a5
311,311,0,a5
312,312,0,a5
313,313,0,a5
314,314,0,a5
315,315,0,a5
316,316,0,a5
317,317,0,a5
318,318,0,a5
319,319,0,a5
320,320,0,a5
321,321,0,a5
322,322,0,a5
323,323,0,a5
324,324,0,a5
325,325,0,a5
326,326,0,a5
327,327,0,a5
328,328,0,a5
329,329,0,a5
330,330,0,a5
331,331,0,a5
332,332,0,a5
333,333,0,a5
334,334,0,a5
335,335,0,a5
336,336,0,a5
337,337,0,a5
338,338,0,a5
339,339,0,a5
340,340,0,a5
341,341,0,a5
342,342,0,a5
343,343,0,a5
344,344,0,a5
345,345,0,a5
346,346,0,a5
347,347,0,a5
348,348,0,a5
349,349,0,a5
350,350,0,a5
351,351,0,a5
352,352,0,a5
353,353,0,a5
354,354,0,a5
355,355,0,a5
356,356,0,a5
357,357,0,a5
358,358,0,a5
359,359,0,a5
360,360,0,a5
361,361,0,a5
362,362,0,a5
363,363,0,a5
364,364,0,a5
365,365,0,a5
366,366,0,a5
367,367,0,a5
368,368,0,a5
369,369,0,a5
370,370,0,a5
371,371,0,a5
372,372,0,a5
373,373,0,a5
374,374,0,a5
375,375,0,a5
376,376,0,a5
377,377,0,a5
378,378,0,a5
379,379,0,a5
380,380,0,a5
381,381,0,a5
382,382,0,a5
383,383,0,a5
384,384,0,a5
385,385,0,a5
386,386,0,a5
387,387,0,a5
388,388,0,a5
389,389,0,a5
390,390,0,a5
391,391,0,a5
392,392,0,a5
393,393,0,a5
394,394,0,a5
395,395,0,a5
396,396,0,a5
397,397,0,a5
398,398,0,a5
399,399,0,a5
400,400,0,a5
401,401,0,a5
