method,method_label,status,clock_period_ns,clock_frequency_mhz,wns_ns,tns_ns,whs_ns,ths_ns,wpws_ns,tpws_ns,internal_unconstrained,fmax_inference,note
common_baseline,Common Base + Generator,VERIFIED,10.000,100.000,1.313,0.000,0.033,0.000,3.000,0.000,0,FORBIDDEN_NOT_COMPUTED,"WNS is slack at 10.000 ns, not an Fmax measurement."
cpu_polling,CPU Polling,VERIFIED,10.000,100.000,0.939,0.000,0.047,0.000,3.000,0.000,0,FORBIDDEN_NOT_COMPUTED,"WNS is slack at 10.000 ns, not an Fmax measurement."
ila_reference,Vivado ILA,VERIFIED,10.000,100.000,1.544,0.000,0.014,0.000,3.000,0.000,0,FORBIDDEN_NOT_COMPUTED,"WNS is slack at 10.000 ns, not an Fmax measurement."
custom,EdgeScope Custom,NOT_RECEIVED,NA,NA,NA,NA,NA,NA,NA,NA,NA,FORBIDDEN_NOT_COMPUTED,"WNS is slack at 10.000 ns, not an Fmax measurement."
